Nilai;Kurs Jual;Kurs Beli;Tanggal
1;16210.22;16043.03;5/17/2023
1;16190.08;16023.09;5/16/2023
1;16174.9;16008.09;5/15/2023
1;16180.48;16013.62;05/12/2023
1;16242.42;16077.87;05/11/2023
1;16284.2;16116.3;05/10/2023
1;16339.15;16175.1;05/09/2023
1;16267.82;16100.11;05/08/2023
1;16262.44;16094.8;05/05/2023
1;16310.69;16144.0;05/04/2023
1;16223.13;16055.87;05/03/2023
1;16209.21;16045.0;05/02/2023
1;16382.83;16213.96;4/28/2023
1;16483.46;16313.52;4/27/2023
1;16378.9;16210.03;4/26/2023
1;16322.64;16154.35;4/18/2023
1;16312.02;16143.87;4/17/2023
1;16367.42;16201.62;4/14/2023
1;16323.8;16159.9;4/13/2023
1;16307.56;16139.37;04/12/2023
1;16351.64;16183.02;04/11/2023
1;16376.82;16212.37;04/10/2023
1;16433.4;16263.93;04/06/2023
1;16373.92;16205.05;04/05/2023
1;16330.41;16161.95;04/04/2023
1;16379.47;16213.5;04/03/2023
1;16428.52;16262.06;3/31/2023
1;16440.67;16272.58;3/30/2023
1;16412.91;16246.59;3/29/2023
1;16404.29;16238.04;3/28/2023
1;16530.4;16359.89;3/27/2023
1;16534.86;16364.22;3/24/2023
1;16471.57;16301.56;3/21/2023
1;16469.18;16300.72;3/20/2023
1;16469.73;16299.72;3/17/2023
1;16584.53;16416.44;3/16/2023
1;16524.97;16359.01;3/15/2023
1;16572.6;16401.58;3/14/2023
1;16474.95;16307.94;3/13/2023
1;16377.83;16208.73;03/10/2023
1;16377.65;16208.54;03/09/2023
1;16494.7;16324.45;03/08/2023
1;16377.04;16208.0;03/07/2023
1;16331.63;16163.04;03/06/2023
1;16324.04;16155.55;03/03/2023
1;16314.79;16147.9;03/02/2023
1;16235.17;16067.56;03/01/2023
1;16203.85;16036.54;2/28/2023
1;16191.25;16028.63;2/27/2023
1;16201.6;16038.89;2/24/2023
1;16294.32;16129.16;2/23/2023
1;16278.5;16113.5;2/22/2023
1;16310.91;16144.08;2/21/2023
1;16254.13;16086.34;2/20/2023
1;16328.66;16160.15;2/17/2023
1;16355.66;16189.9;2/16/2023
1;16362.74;16196.91;2/15/2023
1;16342.65;16173.98;2/14/2023
1;16353.83;16185.08;2/13/2023
1;16314.0;16150.16;02/10/2023
1;16343.51;16174.87;02/09/2023
1;16316.23;16147.87;02/08/2023
1;16311.94;16143.66;02/07/2023
1;16315.52;16147.25;02/06/2023
1;16429.1;16262.67;02/03/2023
1;16394.77;16228.66;02/02/2023
1;16337.1;16171.56;02/01/2023
1;16372.62;16203.74;1/31/2023
1;16371.52;16204.15;1/30/2023
1;16422.39;16253.03;1/27/2023
1;16358.68;16189.96;1/26/2023
1;16349.07;16180.45;1/25/2023
1;16476.15;16306.2;1/24/2023
1;16423.4;16253.96;1/20/2023
1;16473.81;16305.39;1/19/2023
1;16498.41;16328.22;1/18/2023
1;16349.92;16181.27;1/17/2023
1;16544.81;16374.13;1/16/2023
1;16619.57;16451.15;1/13/2023
1;16770.31;16598.79;01/12/2023
1;16820.03;16648.02;01/11/2023
1;16713.07;16540.57;01/10/2023
1;16523.97;16353.34;01/09/2023
1;16646.59;16474.74;01/06/2023
1;16626.82;16455.15;01/05/2023
1;16651.9;16483.1;01/04/2023
1;16717.18;16544.64;01/03/2023
1;16694.78;16522.45;01/02/2023
1;16799.34;16625.92;12/30/2022
1;16807.31;16633.83;12/29/2022
1;16750.78;16577.86;12/28/2022
1;16704.17;16531.74;12/27/2022
1;16667.91;16495.86;12/26/2022
1;16682.81;16510.61;12/23/2022
1;16674.62;16502.5;12/22/2022
1;16655.44;16483.5;12/21/2022
1;16689.71;16517.44;12/20/2022
1;16693.29;16520.98;12/19/2022
1;16721.33;16548.72;12/16/2022
1;16687.58;16515.33;12/15/2022
1;16619.14;16447.53;12/14/2022
1;16545.52;16374.66;12/13/2022
1;16556.26;16385.33;12/12/2022
1;16520.2;16352.71;12/09/2022
1;16417.59;16251.13;12/08/2022
1;16428.75;16262.18;12/07/2022
1;16320.75;16152.21;12/06/2022
1;16312.47;16144.01;12/05/2022
1;16329.16;16160.48;12/02/2022
1;16379.18;16209.94;12/01/2022
1;16411.93;16243.94;11/30/2022
1;16394.11;16224.72;11/29/2022
1;16395.09;16230.4;11/28/2022
1;16379.41;16210.19;11/25/2022
1;16314.97;16149.51;11/24/2022
1;16217.87;16050.25;11/23/2022
1;16199.11;16034.81;11/22/2022
1;16369.74;16200.61;11/21/2022
1;16394.47;16225.11;11/18/2022
1;16324.98;16156.33;11/17/2022
1;16281.57;16113.37;11/16/2022
1;16098.31;15936.58;11/15/2022
1;15951.95;15787.04;11/14/2022
1;15784.23;15620.94;11/11/2022
1;15840.82;15676.97;11/10/2022
1;15760.84;15597.78;11/09/2022
1;15660.07;15498.0;11/08/2022
1;15455.69;15300.33;11/07/2022
1;15415.85;15256.21;11/04/2022
1;15554.08;15393.08;11/03/2022
1;15624.6;15466.01;11/02/2022
1;15572.1;15410.95;11/01/2022
1;15543.17;15386.97;10/31/2022
1;15754.16;15594.31;10/28/2022
1;15728.84;15570.78;10/27/2022
1;15485.35;15325.05;10/26/2022
1;15406.3;15246.79;10/25/2022
1;15360.17;15201.12;10/24/2022
1;15328.11;15169.38;10/21/2022
1;15316.24;15157.69;10/20/2022
1;15325.58;15166.94;10/19/2022
1;15166.91;15009.83;10/18/2022
1;15105.02;14948.6;10/17/2022
1;14976.94;14824.87;10/14/2022
1;15001.81;14846.43;10/13/2022
1;14978.73;14826.63;10/12/2022
1;14925.0;14773.44;10/11/2022
1;15018.85;14863.34;10/10/2022
1;15138.59;14986.43;10/07/2022
1;15183.4;15026.28;10/06/2022
1;15162.01;15005.06;10/05/2022
1;15080.52;14924.37;10/04/2022
1;15072.41;14920.92;10/03/2022
1;14793.06;14639.78;9/30/2022
1;14680.41;14528.26;9/29/2022
1;14690.08;14542.41;9/28/2022
1;14703.8;14551.49;9/27/2022
1;14771.7;14618.75;9/26/2022
1;14877.01;14725.98;9/23/2022
1;14953.3;14798.53;9/22/2022
1;15099.54;14943.34;9/21/2022
1;15021.78;14866.35;9/20/2022
1;14952.13;14801.88;9/19/2022
1;14943.55;14788.92;9/16/2022
1;14979.61;14824.63;9/15/2022
1;15157.85;15001.1;9/14/2022
1;15171.19;15014.34;9/13/2022
1;15072.42;14916.53;09/12/2022
1;14957.05;14805.27;09/09/2022
1;14887.63;14738.0;09/08/2022
1;14919.03;14769.11;09/07/2022
1;14859.65;14708.82;09/06/2022
1;14958.03;14803.26;09/05/2022
1;15004.79;14854.01;09/02/2022
1;14937.71;14783.17;09/01/2022
1;14992.73;14840.59;8/31/2022
1;14880.64;14726.66;8/30/2022
1;14846.38;14695.71;8/29/2022
1;14907.1;14752.86;8/26/2022
1;14859.58;14705.82;8/25/2022
1;14867.19;14713.32;8/24/2022
1;14956.41;14806.11;8/23/2022
1;15065.19;14909.37;8/22/2022
1;15141.9;14985.33;8/19/2022
1;15078.28;14922.38;8/18/2022
1;15148.46;14993.32;8/16/2022
1;15195.43;15038.38;8/15/2022
1;15356.37;15197.67;08/12/2022
1;15257.34;15104.04;08/11/2022
1;15257.44;15102.67;08/10/2022
1;15298.37;15144.65;08/09/2022
1;15327.52;15169.08;08/08/2022
1;15272.22;15114.3;08/05/2022
1;15271.92;15117.0;08/04/2022
1;15305.08;15148.35;08/03/2022
1;15298.16;15142.98;08/02/2022
1;15286.75;15131.69;08/01/2022
1;15349.98;15195.76;7/29/2022
1;15306.43;15151.14;7/28/2022
1;15391.72;15237.08;7/27/2022
1;15353.23;15194.5;7/26/2022
1;15313.53;15155.17;7/25/2022
1;15387.88;15233.29;7/22/2022
1;15396.24;15240.06;7/21/2022
1;15430.07;15270.57;7/20/2022
1;15280.82;15122.81;7/19/2022
1;15120.73;14964.29;7/18/2022
1;15129.77;14973.25;7/15/2022
1;15123.17;14966.74;7/14/2022
1;15083.04;14926.98;7/13/2022
1;15215.34;15058.0;07/12/2022
1;15232.06;15074.54;07/11/2022
1;15368.17;15209.29;07/08/2022
1;15461.3;15301.48;07/07/2022
1;15527.44;15369.96;07/06/2022
1;15694.83;15532.71;07/05/2022
1;15731.21;15571.71;07/04/2022
1;15617.48;15456.16;07/01/2022
1;15690.74;15528.7;6/30/2022
1;15796.91;15633.83;6/29/2022
1;15750.72;15588.1;6/28/2022
1;15731.89;15569.45;6/27/2022
1;15648.68;15487.06;6/24/2022
1;15689.98;15532.38;6/23/2022
1;15739.46;15576.95;6/22/2022
1;15700.42;15538.29;6/21/2022
1;15683.01;15521.06;6/20/2022
1;15420.63;15264.26;6/17/2022
1;15550.34;15386.81;6/16/2022
1;15489.49;15333.9;6/15/2022
1;15447.24;15287.7;6/14/2022
1;15545.25;15384.77;6/13/2022
1;15672.2;15514.81;06/10/2022
1;15544.57;15384.13;06/09/2022
1;15529.15;15368.88;06/08/2022
1;15627.29;15466.04;06/07/2022
1;15598.15;15441.51;06/06/2022
1;15597.18;15440.54;06/03/2022
1;15732.57;15570.22;06/02/2022
1;15731.98;15573.99;5/31/2022
1;15720.4;15561.08;5/30/2022
1;15705.82;15546.63;5/27/2022
1;15770.36;15607.61;5/25/2022
1;15697.8;15535.76;5/24/2022
1;15581.53;15420.66;5/23/2022
1;15538.97;15381.42;5/20/2022
1;15512.36;15352.17;5/19/2022
1;15447.22;15287.69;5/18/2022
1;15290.07;15135.02;5/17/2022
1;15313.14;15154.97;5/13/2022
1;15456.38;15299.69;05/12/2022
1;15460.77;15301.14;05/11/2022
1;15350.15;15191.63;05/10/2022
1;15304.76;15149.59;05/09/2022
1;15347.9;15193.75;4/28/2022
1;15473.32;15313.62;4/27/2022
1;15604.86;15443.84;4/26/2022
1;15583.1;15425.19;4/25/2022
1;15750.68;15588.25;4/22/2022
1;15637.16;15475.85;4/21/2022
1;15585.22;15428.71;4/20/2022
1;15574.79;15414.1;4/19/2022
1;15730.15;15569.35;4/18/2022
1;15637.21;15475.91;4/14/2022
1;15683.07;15521.31;4/13/2022
1;15757.5;15594.99;04/12/2022
1;15691.39;15529.54;04/11/2022
1;15699.27;15541.63;04/08/2022
1;15768.25;15605.63;04/07/2022
1;15821.34;15658.2;04/06/2022
1;15908.95;15749.22;04/05/2022
1;15963.13;15800.0;04/04/2022
1;16059.24;15898.02;04/01/2022
1;16086.35;15920.57;3/31/2022
1;15854.86;15691.38;3/30/2022
1;15854.78;15694.16;3/29/2022
1;15877.04;15713.35;3/28/2022
1;15850.11;15686.68;3/25/2022
1;15891.0;15727.17;3/24/2022
1;15878.54;15717.69;3/23/2022
1;15936.13;15771.86;3/22/2022
1;15949.43;15789.3;3/21/2022
1;15875.15;15715.76;3/18/2022
1;15809.31;15650.58;3/17/2022
1;15836.19;15677.19;3/16/2022
1;15776.25;15613.57;3/15/2022
1;15783.65;15620.91;3/14/2022
1;15884.03;15720.29;03/11/2022
1;15814.93;15654.71;03/10/2022
1;15772.25;15609.58;03/09/2022
1;15737.29;15574.97;03/08/2022
1;15923.54;15763.67;03/07/2022
1;16019.36;15854.24;03/04/2022
1;16195.63;16028.76;03/02/2022
1;16141.98;15978.51;03/01/2022
1;16236.66;16069.38;2/25/2022
1;16371.51;16202.9;2/24/2022
1;16352.06;16183.64;2/23/2022
1;16356.26;16187.81;2/22/2022
1;16395.05;16226.21;2/21/2022
1;16332.92;16164.71;2/18/2022
1;16341.09;16172.8;2/17/2022
1;16305.4;16137.47;2/16/2022
1;16300.24;16132.34;2/15/2022
1;16442.45;16273.13;2/14/2022
1;16482.93;16317.5;02/11/2022
1;16493.78;16326.8;02/10/2022
1;16491.02;16322.64;02/09/2022
1;16550.43;16380.02;02/08/2022
1;16552.94;16382.51;02/07/2022
1;16327.45;16159.27;02/04/2022
1;16277.32;16113.92;02/03/2022
1;16157.69;15991.19;02/02/2022
1;16101.99;15936.04;1/31/2022
1;16196.1;16033.51;1/28/2022
